index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,9,,3,,3,
4,,,10,,,,3,
5,,,11,,,,3,
6,,,12,,,,3,
7,,8,,1,,3,,3
8,7,,,2,3,,,3
9,,,15,3,,,3,3
10,,,16,4,,,3,3
11,,12,17,5,,3,3,3
12,11,,,6,3,,,3
13,,14,19,,,3,3,
14,13,,20,,3,,3,
15,,16,,9,,3,,3
16,15,17,22,10,3,3,3,3
17,16,,,11,3,,,3
18,,,24,,,,3,
19,,,,13,,,,3
20,,21,,14,,3,,3
21,20,22,27,,3,3,3,
22,21,23,,16,3,3,,3
23,22,24,29,,3,3,3,
24,23,,30,18,3,,3,3
25,,26,31,,,3,3,
26,25,27,,,3,3,,
27,26,28,,21,3,3,,3
28,27,29,,,3,3,,
29,28,,,23,3,,,3
30,,,36,24,,,3,3
31,,32,,25,,3,,3
32,31,,,,3,,,
33,,34,39,,,3,3,
34,33,35,,,3,3,,
35,34,,41,,3,,3,
36,,,42,30,,,3,3
37,,38,,,,3,,
38,37,39,44,,3,3,3,
39,38,,,33,3,,,3
40,,,46,,,,3,
41,,,47,35,,,3,3
42,,,48,36,,,3,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,46,,,3,3,,
46,45,,,40,3,,,3
47,,48,,41,,3,,3
48,47,,,42,3,,,3
